FIRM,PRICE,ACCOUNT SIZE,PROFIT SPLIT,PROFIT TARGET,MAX. DAILY LOSS,MAX. TOTAL DRAWDOWN,COMMISION PER ROUND LOT (FOREX),PROFIT TARGET TO DRAWDOWN RATIO,PAYOUT FREQUENCY,TRUST PILOT RATING,YEAR STABLISHED AND COUNTRY,LOYALTY POINTS,Name,Original Price,Discount Price,Account Size,Profit Split,Phase 1 Profit Target,Phase 2 Profit Target,Max Daily Loss,Max Total Drawdown,Daily Drawdown Reset Type,Drawdown Method,Minimun Trading Days,Maximun Trading Days,Stop-loss Required,Profit Target to Drawdown Ratio,Comissions (Forex),Leverage,Refund Fee,Scaling,Expert Advisors (EAS) Allowed,Copy Trading,News Trading,Weekend Holding,Auto-close at Target,Drawdown Blocker,Payout Frequency,Max Allocation (without scaling),Swap Free Accounts,Technology,Broker,Trading Platforms,Trust Pilot Rating,Established,Country,Loyalty Points,STEPS,logo
Apex Trader Funding,$187.00 $37.40 ,50K,90%,"1: $3,000",,"$2,500",Visit Website FAQ,1: 0.83,14 Days,4.5,January 2021 United States,89,Apex Trader Funding - Tradovate/NinjaTrader Plan - 50K Full - 1-Step - 50K,$187.00,$37.40,50K,90%,"$3,000", ,,"$2,500",No daily drawdown,Trailing,7 Days,Unlimited,No,1: 0.83,Visit Website FAQ,Up to 10 (100 Micros),No,No,No,News Trading,Allowed: Evaluation accounts. Not allowed: Funded accounts,No,No,No,14 Days,20 accounts,No, ,Rithmic and Tradovate,NinjaTrader,4.5,"January 1, 2021",United States,89,1 step,Apex Trader Funding.svg
FundedNext,$119.00 $113.05 ,15K,80% + 15% from challenge phase,1: 8% 2: 5%,5%,10%,$3/round lot,1: 0.77,"First 30 days, then 14 Days",4.5,March 2022 United Arab Emirates,68,FundedNext - Stellar Challenge - 2-Steps 15K,$119.00,$113.05,15K,80% + 15% from challenge phase,8%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.77,$3/round lot,Up to 100:1,100%,Yes,Yes,"Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.",Yes,No,No,"First 30 days, then 14 Days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)",Yes,In-House,FundedNext Ltd,"MT4, MT5, cTrader",4.5,"March 1, 2022",United Arab Emirates,68,2 steps,FundedNext.svg
Blue Guardian,$400.00 $298.00 ,50K,85%,1: 10% 2: 4%,4%,10%,$5/round lot (Match Trade),1: 0.71,14 Days,4.1,June 2021 United Arab Emirates,462,Blue Guardian - Elite Guardian - 2-Steps 50K,$400.00,$298.00,50K,85%,10%,4%,4%,10%,Balance / Equity - Highest at EOD,Static,3 Days with 0.5% profit each day,Unlimited,No,1: 0.71,$5/round lot (Match Trade),Up to 50:1,100% on your 4th payout,Yes,Yes,Weekend Holding,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,462,2 steps,Blue Guardian.svg
AquaFunded,$227.00 $158.90 ,25K,90% or 95%,1: 9%,3%,6%,$5,1: 0.67,14 Days or 7 Days,4.4,December 2023 United Arab Emirates,252,AquaFunded - Ray Challenge - 1-Step Challenge - 1-Step 25K,$227.00,$158.90,25K,90% or 95%,9%, ,3%,6%,Equity-based,Trailing,3 Days,Unlimited,No,1: 0.67,$5,Up to 100:1,100%,Yes,Yes,Yes,Yes,Yes,No,No,14 Days or 7 Days,400k,No,White-Label,Triskel Capital,"MT5, (TradeLocker, Match Trader for US Traders)",4.4,"December 1, 2023",United Arab Emirates,252,1 step,AquaFunded.svg
Maven,$96.00 $88.32 ,20K,80%,1: 8% 2: 5%,4%,8%,$4/round lot,1: 0.62,14 Days,4.6,November 2022 Canada,117,Maven - 2-Step Challenge - Standard - cTrader - 2-Steps 20K,$96.00,$88.32,20K,80%,8%,5%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.62,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Auto-close at Target,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,117,2 steps,Maven.png
Goat Funded Trader,$798.00 $638.40 ,20K,65% up to 95%,x,4%,8%,$5/round lot, ,"Triple payday: 5th, 15th and 25th of each month",4.1,May 2023 Spain,1100,Goat Funded Trader - Instant - No Evaluation 20K,$798.00, ,20K,65% up to 95%, , ,4%,8%,Balance / Equity - Highest at EOD,Trailing (Smart Drawdown),10 Days,,No,1:,$5/round lot,Up to 50:1,0%,Yes,Yes,Yes,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",No,No,No,"Triple payday: 5th, 15th and 25th of each month",800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,1100,Instant,Goat Funded Trader.png
Goat Funded Trader,$294.00 $147.00 ,50K,40%(payout on demand) or 80% (30days),1: 10% 2: 5%,5%,10%,$7/round lot,1: 0.67,30 Days or Triple payday or Payout on Demand,4.1,May 2023 Spain,243,Goat Funded Trader - No Time Limit - 2-Steps 50K,$294.00,$147.00,50K,40%(payout on demand) or 80% (30days),10%,5%,5%,10%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.67,$7/round lot,Up to 100:1,0%,Yes,Yes,Drawdown Blocker,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",Yes,No,No,30 Days or Triple payday or Payout on Demand,800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,243,2 steps,Goat Funded Trader.png
My Funded FX,$375.00 $328.13 ,100K,80%,1: 6% 2: 6% 3: 6%,4%,8%,"$3/round lot (MatchTrade, DXTrade)",1: 0.44,5 Days,4.2,June 2022 United States,541,My Funded FX - 3-Step Normal - 3-Steps 100K,$375.00,$328.13,100K,80%,6%,6%,4%,8%,Balance-based,Static,,Unlimited,No,1: 0.44,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,Yes,Yes,Yes,Allowed with restriction: 3 minutes before and after a red folder news,Yes,No,No,5 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,541,3 steps,My Funded FX.svg
Funding Pips, ,5K,80%,1: 10% 2: 8%,4%,8%,$7/round lot,1: 0.56,Payout on demand with 45% consistency score,4.3,November 2022 United Arab Emirates,13,Funding Pips - X 2-Phase challenges - 2-Steps 5K,$32.00, ,5K,80%,10%,8%,4%,8%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.56,$7/round lot,Up to 50:1,"*Yes, 100% but on the 4th payout",Yes,Yes,Payout Frequency,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand with 45% consistency score,300K (50K for Pakistan traders),No,In-House,Liquidity Providers,"cTrader, (Match-Trader, TradeLocker for US traders)",4.3,"November 1, 2022",United Arab Emirates,13,2 steps,Funding Pips.svg
E8 Markets,$338.00 $321.10 ,50K,80%,1: 8% 2: 4%,4%,8%,"$0 standard, $5/round lot of raw spreads",1: 0.67,8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,177,E8 Markets - E8 Classic - 2-Steps 50K,$338.00,$321.10,50K,80%,8%,4%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.67,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,"5 Days, then 5 business days",Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,177,2 steps,E8 Markets.svg
For Traders,$117.00 $98.28 ,15K,80% + 15% from challenge phase,1: 8% 2: 5%,5%,10%,$5/round lot,1: 0.69,14 Days,4.2,July 2023 United Arab Emirates,162,For Traders - 2-Step Challenge - 2-Steps 15K,$117.00, ,15K,80% + 15% from challenge phase,8%,5%,5%,10%,Balance-based,Static,3 Days,Unlimited,No,1: 0.69,$5/round lot,Up to 125:1,100%,Yes,No,Swap Free Accounts,Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,14 Days,300K,No,White-Label,Capital Markets,"cTrader, TradeLocker, (DXTrade for US traders)",4.2,"July 1, 2023",United Arab Emirates,162,2 steps,For Traders.svg
City Traders Imperium,$99.00 $84.15 ,10K,80% up to 100% + Monthly Salary,1: 10% 2: 5%,5%,10%,$4.50/round lot,1: 0.67,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",4.5,June 2018 United Arab Emirates,139,City Traders Imperium - 2-Step Challenge Funding - 2-Steps 10K,$99.00,$84.15,10K,80% up to 100% + Monthly Salary,10%,5%,5%,10%,Balance-based,Static,,Unlimited,Yes,1: 0.67,$4.50/round lot,Up to 30:1,"*Yes, 100% but only on the 2-step",Yes,Yes,Yes,Yes,Yes,No,No,"10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly",200K,No,In-House,Mabicon,MT5,4.5,"June 1, 2018",United Arab Emirates,139,2 steps,City Traders Imperium.svg
The 5%ers,$260.00 $247.00 ,5K,75%,10% to double the funded account,3%,6%,$4/round lot,1: 0.6,14 Days,4.9,January 2016 Israel,272,The 5%ers - Hyper Growth Program - Instant 5K,$260.00,$247.00,5K,75%,10% to double the funded account, ,3%,6%,*,Static,,Unlimited,"*Yes, Bootcamp Program only.",1: 0.6,$4/round lot,Up to 30:1,"*Yes, 100% but only in the High Stake plans",Yes,Yes,Technology,"Highstakes allowed with restriction: 2 minutes prior or after to high-impact news. Allowed for Hyper Growth, Bootcamp programs with no restriction",Yes,No,No,14 Days,40K,Yes,In-House,Commercial Liquidity Providers,MT5,4.9,"January 1, 2016",Israel,272,Instant,The5ers.svg
Nordic Funder,$600.00 $540.00 ,100K,75%,1: 10%,5%,10%,0$round lot,1: 1,"Has to be at least 2% up before requesting on first payout, 14 days then after",4.5,November 2021 Sweden,1188,Nordic Funder - 1-Phase Evaluation - 1-Step 100K,$600.00,$540.00,100K,75%,10%, ,5%,10%,Balance-based,Trailing,,Unlimited,"Yes, (Extra charge)",1: 1,0$round lot,Up to 10:1,"Yes, 100% refund if reached 10% profit target",Yes,Yes,In-House,Yes,No,Yes,No,"Has to be at least 2% up before requesting on first payout, 14 days then after",1M,No,In-House,Scandinavian Capital Markets,MT4,4.5,"November 11, 2021",Sweden,1188,1 step,Nordic Funder.webp
FXIFY,$375.00 $300.00 ,50K,75%,1: 10% 2: 5%,5%,10%,$0,1: 0.67,"First payout on-demand, 30 days then after",4.3,April 2023 United Kingdom,701,FXIFY - 2-Phase - 2-Steps 50K,$375.00,$300.00,50K,75%,10%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.67,$0,Up to 30:1,100%,Yes,Yes,Broker,Yes,Yes,No,No,"First payout on-demand, 30 days then after",800K,No,White-Label,FXPIG,"MT4, MT5, (DXtrade for US traders)",4.3,"April 1, 2023",United Kingdom,701,2 steps,FXIFY.svg
Goat Funded Trader,$230.00 $115.00 ,25K,40%(payout on demand) or 80% (30days),1: 10% 2: 6%,4%,12%,$7/round lot,1: 0.75,30 Days or Triple payday or Payout on Demand,4.1,May 2023 Spain,190,Goat Funded Trader - Swing - 2-Steps 25K,$230.00,$115.00,25K,40%(payout on demand) or 80% (30days),10%,6%,4%,12%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.75,$7/round lot,Up to 50:1,0%,Yes,Yes,FundedNext Ltd,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",Yes,No,No,30 Days or Triple payday or Payout on Demand,800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,190,2 steps,Goat Funded Trader.png
Elite Trader Funding,$295.00 $88.50 ,50K,90%,"1: $3,000","$1,100","$2,000", ,1: 0.67,"15 Days for 1st to 2nd payout, then every 10 Days",3.7,February 2022 United States,243,Elite Trader Funding - End of Day Drawdown Evaluation - 1-Step - 50K,$295.00,$88.50,50K,90%,"$3,000", ,"$1,100","$2,000",Balance-based,End of Day trailing drawdown,5 Days,Unlimited,No,1: 0.67, ,"Up to 8 mini, 80 micros or 8 small",No,No,Yes,Trading Platform(s),Yes,No,No,No,"15 Days for 1st to 2nd payout, then every 10 Days",3 accounts,No, ,"Rithmic, Tradovate","NinjaTrader, TradingView, Tradovate, Rithmic, R | Trader, ATAS, Bookmap, EdgeProX, eSignal, Finamark, Investor/RY, Jigsawdaytradr, Jigsawdaytradr+, MotiveWave, MultiCharts , MultiCharts+, OptimusFlow, OverCharts, Quantower, Sierra Chart, TigerTrade, Trade Navigator, VolFix, Volumetrica",3.7,"February 1, 2022",United States,243,1 step,Elite Trader Funding.png
Lark Funding,$240.00 $216.00 ,50K,80%,1: 5% 2: 4% 3: 3%,,5%,$7/round lot,1: 0.42,"First 14 days, then 7 days",4.3,June 2022 Canada,317,Lark Funding - 3-Stage Evaluation - 3-Steps 50K,$240.00,$216.00,50K,80%,5%,4%,,5%,Balance-based,Static,,Unlimited,No,1: 0.42,$7/round lot,Up to 15:1,No,No,Yes,"MT4, MT5, cTrader",Yes,No,Yes,No,"First 14 days, then 7 days",600K,Yes,White-Label,ThinkMarkets,"cTrader, (DXtrader for US traders)",4.3,"June 1, 2022",Canada,317,3 steps,Lark Funding.svg
The Trading Pit,$99.00 $79.20 ,50K,80%,"1: $3,000",$1000 (daily pause),"$2,000",*,1: 0.67,"10 profitable days of 200$, then 5 profitable days of 200$, then every 7 days for profits over $200",4.0,October 2022 Liechtenstein,163,The Trading Pit - Futures Prime - 1-Phase Evaluation - 1-Step 50K,$99.00,$79.20,50K,80%,"$3,000", ,$1000 (daily pause),"$2,000",No daily drawdown (only daily pause),EOD Balance,3 Days,30 Days,Yes,1: 0.67,*,Up to 5 standard (50 micros),"*Yes, 100% only in the CFD challenge",Yes,No,Buyers Rating,Allowed with restriction: 2 minutes prior or after to high-impact news,No,No,No,"10 profitable days of 200$, then 5 profitable days of 200$, then every 7 days for profits over $200",*,No,In-House,"FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)",4.0,"October 1, 2022",Liechtenstein,163,1 step,The Trading Pit.svg
My Funded FX,$799.00 $699.13 ,200K,80%,1: 8%,2% daily pause,8%,"$3/round lot (MatchTrade, DXTrade)",1: 1,7 Days,4.2,June 2022 United States,1154,My Funded FX - 1-Step Max - 1-Step 200K,$799.00,$699.13,200K,80%,8%, ,2% daily pause,8%,Balance-based,Static,,Unlimited,No,1: 1,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,No,Yes,Yes,Allowed with restriction: 3 minutes before and after a red folder news,Yes,Yes,No,7 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,1154,1 step,My Funded FX.svg
Finotive Funding,"$1,249.00 $936.75 ",50K,55%,x,5%,8%,$4/round lot,1: *,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,866,Finotive Funding - Instant Standard - Instant 50K,"$1,249.00",$936.75,50K,55%, , ,5%,8%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: *,$4/round lot,Up to 100:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,News Trading,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,866,Instant,Finotive Funding.svg
Crypto Fund Trader,$105.00 $97.65 ,10K,80%,1: 8% 2: 5%,5%,10%,$3/round lot,1: 0.77,"15 trading days, or 30 calendar days",3.9,November 2022 Switzerland,161,Crypto Fund Trader - 2-Phases - 2-Steps 10K,$105.00,$97.65,10K,80%,8%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.77,$3/round lot,Up to 100:1,No,No,Yes,Allowed with restriction: 3 minutes before and after a red folder news,Yes,Yes,No,No,"15 trading days, or 30 calendar days",200K,No,In-House,Liquidity Data Feed Providers,"CFT Platform, MT5, (Crypto Futures for US Traders)",3.9,"November 2, 2022",Switzerland,161,2 steps,Crypto Fund Trader.png
Maven,$76.00 $69.92 ,20K,80%,1: 8% 2: 5%,4%,8%,$4/round lot,1: 0.62,14 Days,4.6,November 2022 Canada,92,Maven - 2-Step Challenge - Standard - 2-Steps 20K,$76.00,$69.92,20K,80%,8%,5%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.62,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Weekend Holding,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,92,2 steps,Maven.png
Fintokei,"€2,699.00 €2,429.10 ",50K,50% up to 90%,10% (To withdraw),,10%,$6/round lot,1: 1,"Upon hitting the profit target, then every 14 days",4.8,April 2023 Czech Republic,2672,Fintokei - SwiftTrader - Instant - Instant - 50K,"€2,699.00","€2,429.10",50K,50% up to 90%,10% (To withdraw), , ,10%,,Trailing - HWM of historical SOD Equity,,Unlimited,No,1: 1,$6/round lot,Up to 50:1,"Yes, only ProTrader on your first payout",Yes,Yes,Yes,"Yes, we just advise clients to be careful during these periods of possible higher market volatility",Yes,No,No,"Upon hitting the profit target, then every 14 days",200K,No,White Label,Purple Trading Seychelles,"MT4, MT5, cTrader",4.8,"April 1, 2023",Czech Republic,2672,Instant,fintokei.svg
Finotive Funding,"$2,000.00 $1,500.00 ",200K,"75%, 100% after 30 days",1: 10%,4%,7.50%,$3/round lot,1: 0.75,"Payout on demand, then every 7 Days",3.8,April 2021 Cyprus,1386,Finotive Funding - 1 Phase Pro Challenge - 1-Step 200K,"$2,000.00","$1,500.00",200K,"75%, 100% after 30 days",10%, ,4%,7.50%,Balance-based,Static,,Unlimited,Yes (Instant accounts only),1: 0.75,$3/round lot,Up to 400:1,"Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)",Yes,Yes,Auto-close at Target,"Yes, News Straddling is Prohibited",Yes,No,No,"Payout on demand, then every 7 Days",1.4M,Yes,In-House,Finotive Markets LLC,MT5,3.8,"April 23, 2021",Hungary,1386,1 step,Finotive Funding.svg
For Traders,$99.00 $83.16 ,15K,80% + 15% from challenge phase,1: 6% (2% daily profit cap) 2: 6% (2% daily profit cap),3% (Daily Pause),10%,$5/round lot,1: 0.67,14 Days,4.2,July 2023 United Arab Emirates,137,For Traders - 2-Step Pro Challenge - 2-Steps 15K,$99.00, ,15K,80% + 15% from challenge phase,6% (2% daily profit cap),6% (2% daily profit cap),3% (Daily Pause),10%,Balance-based,Static,,Unlimited,No,1: 0.67,$5/round lot,Up to 125:1,100%,Yes,No,Yes,Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,14 Days,300K,No,White-Label,Capital Markets,"cTrader, TradeLocker, (DXTrade for US traders)",4.2,"July 1, 2023",United Arab Emirates,137,2 steps,For Traders.svg
For Traders,$59.00 $49.56 ,6K,80% + 15% from challenge phase,1: 9%,3%,6%,$5/round lot,1: 0.67,14 Days,4.2,July 2023 United Arab Emirates,82,For Traders - 1-Step Challenge - 1-Step 6K,$59.00, ,6K,80% + 15% from challenge phase,9%, ,3%,6%,Balance-based,Trailing,3 Days,Unlimited,No,1: 0.67,$5/round lot,Up to 125:1,100%,Yes,No,Drawdown Blocker,Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,14 Days,300K,No,White-Label,Capital Markets,"cTrader, TradeLocker, (DXTrade for US traders)",4.2,"July 1, 2023",United Arab Emirates,82,1 step,For Traders.svg
Maven,$39.00 $35.88 ,5K,80%,1: 8% 2: 5%,4%,8%,$4/round lot,1: 0.62,14 Days,4.6,November 2022 Canada,47,Maven - 2-Step Challenge - Standard - cTrader - 2-Steps 5K,$39.00,$35.88,5K,80%,8%,5%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.62,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Yes,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,47,2 steps,Maven.png
My Funded FX,$100.00 $87.50 ,10K,80%,1: 8% 2: 5%,5%,8%,"$3/round lot (MatchTrade, DXTrade)",1: 0.62,14 Days,4.2,June 2022 United States,144,My Funded FX - 2-Step Normal - 2-Steps 10K,$100.00,$87.50,10K,80%,8%,5%,5%,8%,Balance-based,Static,3 days of .5% profit per day,Unlimited,No,1: 0.62,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,Yes,Yes,Payout Frequency,Allowed with restriction: 3 minutes before and after a red folder news,Yes,No,No,14 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,144,2 steps,My Funded FX.svg
E8 Markets,$588.00 $558.60 ,100K,80%,1: 8% 2: 4%,4%,8%,"$0 standard, $5/round lot of raw spreads",1: 0.67,8 Days (First Payout then 14 Days Subsequent Payouts,4.6,November 2021 United States,307,E8 Markets - E8 Classic - 2-Steps 100K,$588.00,$558.60,100K,80%,8%,4%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.67,"$0 standard, $5/round lot of raw spreads",Up to 50:1,No,Yes,Yes,7 Days,Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,8 Days (First Payout then 14 Days Subsequent Payouts,400K,No,In-House,Virtual Markets,"MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)",4.6,"November 1, 2021",United States,307,2 steps,E8 Markets.svg
My Funded FX,$200.00 $175.00 ,25K,80%,1: 8% 2: 5%,5%,8%,"$3/round lot (MatchTrade, DXTrade)",1: 0.62,14 Days,4.2,June 2022 United States,289,My Funded FX - 2-Step Normal - 2-Steps 25K,$200.00,$175.00,25K,80%,8%,5%,5%,8%,Balance-based,Static,3 days of .5% profit per day,Unlimited,No,1: 0.62,"$3/round lot (MatchTrade, DXTrade)",Up to 1:30,0%,Yes,Yes,Swap Free Accounts,Allowed with restriction: 3 minutes before and after a red folder news,Yes,No,No,14 Days,400K,No,White-Label,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)",4.2,"June 1, 2022",United States,289,2 steps,My Funded FX.svg
Maven,$38.00 $34.96 ,10K,80%,1: 8% 2: 5%,4%,8%,$4/round lot,1: 0.62,14 Days,4.6,November 2022 Canada,46,Maven - 2-Step Challenge - Standard - 2-Steps 10K,$38.00,$34.96,10K,80%,8%,5%,4%,8%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.62,$4/round lot,Up to 75:1,"*Yes, 100% for standard account on 3rd payout",Yes,Yes,Yes,Allowed with restriction: 2 minutes before and after a red folder news,Yes,Yes,No,14 Days,200K,Yes,White-Label,Match Trade,"cTrader, (Match Trader for US traders)",4.6,"November 1, 2022",Canada,46,2 steps,Maven.png
Crypto Fund Trader,$345.00 $320.85 ,50K,80%,1: 8% 2: 5%,5%,10%,$3/round lot,1: 0.77,"15 trading days, or 30 calendar days",3.9,November 2022 Switzerland,529,Crypto Fund Trader - 2-Phases - 2-Steps 50K,$345.00,$320.85,50K,80%,8%,5%,5%,10%,Balance-based,Static,5 Days,Unlimited,No,1: 0.77,$3/round lot,Up to 100:1,No,No,Yes,Technology,Yes,Yes,No,No,"15 trading days, or 30 calendar days",200K,No,In-House,Liquidity Data Feed Providers,"CFT Platform, MT5, (Crypto Futures for US Traders)",3.9,"November 2, 2022",Switzerland,529,2 steps,Crypto Fund Trader.png
Goat Funded Trader,$154.00 $77.00 ,15K,40%(payout on demand) or 80% (30days),1: 10% 2: 5%,5%,10%,$7/round lot,1: 0.67,30 Days or Triple payday or Payout on Demand,4.1,May 2023 Spain,127,Goat Funded Trader - No Time Limit - 2-Steps 15K,$154.00,$77.00,15K,40%(payout on demand) or 80% (30days),10%,5%,5%,10%,Balance / Equity - Highest at EOD,Static,,Unlimited,No,1: 0.67,$7/round lot,Up to 100:1,0%,Yes,Yes,White-Label,"Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news",Yes,No,No,30 Days or Triple payday or Payout on Demand,800K (50k for Pakistan traders),Yes,In-House,Liquidity Providers,"Match Trader, TradeLocker",4.1,"May 1, 2023",Spain,127,2 steps,Goat Funded Trader.png
Blue Guardian,$227.00 $169.12 ,50K,85%,1: 6% 2: 6% 3: 6%,4%,8%,$5/round lot (Match Trade),1: 0.44,14 Days,4.1,June 2021 United Arab Emirates,262,Blue Guardian - 3 Phase Challenge - 3-Steps 50K,$227.00,$169.12,50K,85%,6%,6%,4%,8%,Balance / Equity - Highest at EOD,Static,3 Days with 0.5% profit each day,Unlimited,No,1: 0.44,$5/round lot (Match Trade),Up to 100:1 (evaluation leverage),100% on your 4th payout,Yes,Yes,Broker,Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.,Yes,No,Yes,14 Days,800K (50K for Pakistan traders),No,White-Label,*,"MT5, (TradeLocker, Match Trader for US traders)",4.1,"June 1, 2021",United Arab Emirates,262,3 steps,Blue Guardian.svg
Funding Pips, ,100K,80%,1: 10% 2: 8%,4%,8%,$7/round lot,1: 0.56,Payout on demand with 45% consistency score,4.3,November 2022 United Arab Emirates,160,Funding Pips - X 2-Phase challenges - 2-Steps 100K,$399.00, ,100K,80%,10%,8%,4%,8%,Balance / Equity - Highest at EOD,Static,3 Days,Unlimited,No,1: 0.56,$7/round lot,Up to 50:1,"*Yes, 100% but on the 4th payout",Yes,Yes,"Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd",Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.,Yes,No,No,Payout on demand with 45% consistency score,300K (50K for Pakistan traders),No,In-House,Liquidity Providers,"cTrader, (Match-Trader, TradeLocker for US traders)",4.3,"November 1, 2022",United Arab Emirates,160,2 steps,Funding Pips.svg
