"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"For Traders","$59.00 $49.56 ","6K 1 step","80% + 15% from challenge phase","1: 9%","3%","6%","$5/round lot","1: 0.67","14 Days","4.2","July 2023 United Arab Emirates","82","For Traders - 1-Step Challenge - 1-Step 6K","$59.00"," ","6K","80% + 15% from challenge phase","9%"," ","3%","6%","Balance-based","Trailing","3 Days","Unlimited","No","1: 0.67","$5/round lot","Up to 125:1","100%","Yes","No","Drawdown Blocker","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","82"
"Maven","$39.00 $35.88 ","5K 2 steps","80%","1: 8% 2: 5%","4%","8%","$4/round lot","1: 0.62","14 Days","4.6","November 2022 Canada","47","Maven - 2-Step Challenge - Standard - cTrader - 2-Steps 5K","$39.00","$35.88","5K","80%","8%","5%","4%","8%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.62","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Yes","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","47"
"My Funded FX","$100.00 $87.50 ","10K 2 steps","80%","1: 8% 2: 5%","5%","8%","$3/round lot (MatchTrade, DXTrade)","1: 0.62","14 Days","4.2","June 2022 United States","144","My Funded FX - 2-Step Normal - 2-Steps 10K","$100.00","$87.50","10K","80%","8%","5%","5%","8%","Balance-based","Static","3 days of .5% profit per day","Unlimited","No","1: 0.62","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","Yes","Yes","Payout Frequency","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","144"
"E8 Markets","$588.00 $558.60 ","100K 2 steps","80%","1: 8% 2: 4%","4%","8%","$0 standard, $5/round lot of raw spreads","1: 0.67","8 Days (First Payout then 14 Days Subsequent Payouts","4.6","November 2021 United States","307","E8 Markets - E8 Classic - 2-Steps 100K","$588.00","$558.60","100K","80%","8%","4%","4%","8%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.67","$0 standard, $5/round lot of raw spreads","Up to 50:1","No","Yes","Yes","7 Days","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","8 Days (First Payout then 14 Days Subsequent Payouts","400K","No","In-House","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","November 1, 2021","United States","307"
"My Funded FX","$200.00 $175.00 ","25K 2 steps","80%","1: 8% 2: 5%","5%","8%","$3/round lot (MatchTrade, DXTrade)","1: 0.62","14 Days","4.2","June 2022 United States","289","My Funded FX - 2-Step Normal - 2-Steps 25K","$200.00","$175.00","25K","80%","8%","5%","5%","8%","Balance-based","Static","3 days of .5% profit per day","Unlimited","No","1: 0.62","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","Yes","Yes","Swap Free Accounts","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","289"
"Maven","$38.00 $34.96 ","10K 2 steps","80%","1: 8% 2: 5%","4%","8%","$4/round lot","1: 0.62","14 Days","4.6","November 2022 Canada","46","Maven - 2-Step Challenge - Standard - 2-Steps 10K","$38.00","$34.96","10K","80%","8%","5%","4%","8%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.62","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Yes","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","46"
"Crypto Fund Trader","$345.00 $320.85 ","50K 2 steps","80%","1: 8% 2: 5%","5%","10%","$3/round lot","1: 0.77","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","529","Crypto Fund Trader - 2-Phases - 2-Steps 50K","$345.00","$320.85","50K","80%","8%","5%","5%","10%","Balance-based","Static","5 Days","Unlimited","No","1: 0.77","$3/round lot","Up to 100:1","No","No","Yes","Technology","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","529"
"Goat Funded Trader","$154.00 $77.00 ","15K 2 steps","40%(payout on demand) or 80% (30days)","1: 10% 2: 5%","5%","10%","$7/round lot","1: 0.67","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","127","Goat Funded Trader - No Time Limit - 2-Steps 15K","$154.00","$77.00","15K","40%(payout on demand) or 80% (30days)","10%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.67","$7/round lot","Up to 100:1","0%","Yes","Yes","White-Label","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","127"
"Blue Guardian","$227.00 $169.12 ","50K 3 steps","85%","1: 6% 2: 6% 3: 6%","4%","8%","$5/round lot (Match Trade)","1: 0.44","14 Days","4.1","June 2021 United Arab Emirates","262","Blue Guardian - 3 Phase Challenge - 3-Steps 50K","$227.00","$169.12","50K","85%","6%","6%","4%","8%","Balance / Equity - Highest at EOD","Static","3 Days with 0.5% profit each day","Unlimited","No","1: 0.44","$5/round lot (Match Trade)","Up to 100:1 (evaluation leverage)","100% on your 4th payout","Yes","Yes","Broker","Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.","Yes","No","Yes","14 Days","800K (50K for Pakistan traders)","No","White-Label","*","MT5, (TradeLocker, Match Trader for US traders)","4.1","June 1, 2021","United Arab Emirates","262"
"Funding Pips"," ","100K 2 steps","80%","1: 10% 2: 8%","4%","8%","$7/round lot","1: 0.56","Payout on demand with 45% consistency score","4.3","November 2022 United Arab Emirates","160","Funding Pips - X 2-Phase challenges - 2-Steps 100K","$399.00"," ","100K","80%","10%","8%","4%","8%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.56","$7/round lot","Up to 50:1","*Yes, 100% but on the 4th payout","Yes","Yes","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Payout on demand with 45% consistency score","300K (50K for Pakistan traders)","No","In-House","Liquidity Providers","cTrader, (Match-Trader, TradeLocker for US traders)","4.3","November 1, 2022","United Arab Emirates","160"
"AquaFunded","$237.00 $165.90 ","50K 3 steps","90% or 95%","1: 6% 2: 6% 3: 6%","4%","8%","$5","1: 0.44","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","290","AquaFunded - Dolphin Challenge - 3-Step Challenge - 3-Steps 50K","$237.00","$165.90","50K","90% or 95%","6%","6%","4%","8%","Equity-based","Static","0","Unlimited","No","1: 0.44","$5","Up to 100:1","100%","Yes","Yes","Trading Platform(s)","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","290"
"Crypto Fund Trader","$1199.00 $1,115.07 ","200K 1 step","80%","1: 10%","4%","6%","$3/round lot","1: 0.6","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","1840","Crypto Fund Trader - 1-Phase - 1-Step 200K","$1199.00","$1,115.07","200K","80%","10%"," ","4%","6%","Balance-based","Trailing","5 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 100:1","No","No","Yes","cTrader, (Match Trader, DXtrade for US traders)","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","1840"
"Finotive Funding","$748.00 $561.00 ","10K Instant","60%","x","10%","16%","$4/round lot","1: *","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","518","Finotive Funding - Instant Agressive - Instant 10K","$748.00","$561.00","10K","60%"," "," ","10%","16%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: *","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Buyers Rating","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","518"
"City Traders Imperium","$129.00 $109.65 ","5K 1 step","70% up to 100% + Monthly Salary","1: 10%","None","6%","$4.50/round lot","1: 0.6","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","4.5","June 2018 United Arab Emirates","181","City Traders Imperium - 1-Step Evaluation - 1-Step 5K","$129.00","$109.65","5K","70% up to 100% + Monthly Salary","10%"," "," ","6%","Balance-based","Static","None","Unlimited","Yes","1: 0.6","$4.50/round lot","Up to 30:1","*Yes, 100% but only on the 2-step","Yes","Yes","*Yes, but proof of the trading account being copied from must be provided.","Yes","Yes","No","No","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","160K","No","In-House","Mabicon","MT5","4.5","June 1, 2018","United Arab Emirates","181"
"Apex Trader Funding","$207.00 $41.40 ","75K 1 step","90%","1: $4,250","None","$2,750","Visit Website FAQ","1: 0.65","14 Days","4.5","January 2021 United States","99","Apex Trader Funding - Tradovate/NinjaTrader Plan - 75K Full - 1-Step - 75K","$207.00","$41.40","75K","90%","$4,250"," ","None","$2,750","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.65","Visit Website FAQ","Up to 12 (120 Micros)","No","No","No","News Trading","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","99"
"Crypto Fund Trader","$230.00 $213.90 ","25K 2 steps","80%","1: 8% 2: 5%","5%","10%","$3/round lot","1: 0.77","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","353","Crypto Fund Trader - 2-Phases - 2-Steps 25K","$230.00","$213.90","25K","80%","8%","5%","5%","10%","Balance-based","Static","5 Days","Unlimited","No","1: 0.77","$3/round lot","Up to 100:1","No","No","Yes","Yes","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","353"
"Goat Funded Trader","$48.00 $24.00 ","8K 2 steps","40%(payout on demand) or 80% (30days)","1: 8% 2: 6%","4%","10%","$7/round lot","1: 0.71","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","40","Goat Funded Trader - Goat - 2-Steps 8K","$48.00","$24.00","8K","40%(payout on demand) or 80% (30days)","8%","6%","4%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.71","$7/round lot","Up to 50:1","0%","Yes","Yes","Weekend Holding","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","40"
"FTMO"," ","25K 2 steps","80%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.8","January 2015 Czech Republic","80","FTMO - Normal Challenge - 2-Steps 25K","€250.00"," ","25K","80%","10%","5%","5%","10%","Balance-based (initial account balance)","Static","4 Days","Unlimited","No","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","Yes","Allowed: Swing accounts. Not allowed: Funded accounts within 2 minutes before or after high-impact news. (Permitted during Evaluation)","No","No","No","14 Days","400K","Yes","In-House","Institutional Liquidity Providers","MT4, MT5, cTrader, DXtrade","4.8","January 1, 2015","Czech Republic","80"
"Apex Trader Funding","$227.00 $45.40 ","100K 1 step","90%","1: $6,000","None","$3,000","Visit Website FAQ","1: 0.5","14 Days","4.5","January 2021 United States","109","Apex Trader Funding - Tradovate/NinjaTrader Plan - 100K Full - 1-Step - 100K","$227.00","$45.40","100K","90%","$6,000"," ","None","$3,000","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.5","Visit Website FAQ","Up to 14 (140 Micros)","No","No","No","Auto-close at Target","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","109"
"FundedNext","$199.00 $189.05 ","25K 1 step","60% + 15% from challenge phase","1: 25%","5%","10%","$3/round lot","1: 0.4","Monthly","4.5","March 2022 United Arab Emirates","113","FundedNext - Express Consistency - 1-Step 25K","$199.00","$189.05","25K","60% + 15% from challenge phase","25%"," ","5%","10%","Balance-based","Static","10 Days","Unlimited","No","1: 0.4","$3/round lot","Up to 100:1","100%","Yes","Yes","Yes","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","No","No","No","Monthly","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","113"
"Blue Guardian","$197.00 $146.77 ","25K 1 step","85%","1: 10%","4%","6%","$5/round lot (Match Trade)","1: 0.6","14 Days","4.1","June 2021 United Arab Emirates","228","Blue Guardian - Rapid Guardian - 1-Step 25K","$197.00","$146.77","25K","85%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Trailing","3 Days with 0.5% profit each day","Unlimited","No","1: 0.6","$5/round lot (Match Trade)","Up to 100:1 (evaluation leverage)","100% on your 4th payout","Yes","Yes","Drawdown Blocker","Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.","Yes","No","Yes","14 Days","800K (50K for Pakistan traders)","No","White-Label","*","MT5, (TradeLocker, Match Trader for US traders)","4.1","June 1, 2021","United Arab Emirates","228"
"E8 Markets","$228.00 $216.60 ","25K 2 steps","80%","1: 8% 2: 4%","4%","8%","$0 standard, $5/round lot of raw spreads","1: 0.67","8 Days (First Payout then 14 Days Subsequent Payouts","4.6","November 2021 United States","119","E8 Markets - E8 Classic - 2-Steps 25K","$228.00","$216.60","25K","80%","8%","4%","4%","8%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.67","$0 standard, $5/round lot of raw spreads","Up to 50:1","No","Yes","Yes","Yes","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","8 Days (First Payout then 14 Days Subsequent Payouts","400K","No","In-House","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","November 1, 2021","United States","119"
"Apex Trader Funding","$657.00 $131.40 ","300K 1 step","90%","1: $20,000","None","$7,500","Visit Website FAQ","1: 0.38","14 Days","4.5","January 2021 United States","314","Apex Trader Funding - Rithmic/NinjaTrader Plan - 300K Full - 1-Step - 300K","$657.00","$131.40","300K","90%","$20,000"," ","None","$7,500","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.38","Visit Website FAQ","Up to 35 (350 Micros)","No","No","No","Payout Frequency","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","314"
"Goat Funded Trader","$238.00 $119.00 ","50K 2 steps","40%(payout on demand) or 80% (30days)","1: 8% 2: 6%","4%","10%","$7/round lot","1: 0.71","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","196","Goat Funded Trader - Goat - 2-Steps 50K","$238.00","$119.00","50K","40%(payout on demand) or 80% (30days)","8%","6%","4%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.71","$7/round lot","Up to 50:1","0%","Yes","Yes","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","196"
"The Trading Pit","$399.00 $359.10 ","50K 1 step","80%","1: 10%","4%","7%","$5/round lot","1: 0.7","Upon hitting the profit target","4.0","October 2022 Liechtenstein","593","The Trading Pit - CFD Classic - 1-Phase Evaluation - 1-Step 50K","$399.00","$359.10","50K","80%","10%"," ","4%","7%","Equity-based at 16:00 CT","Trailing based on high-equity","5 Days","Unlimited","Yes","1: 0.7","$5/round lot","Up to 30:1","*Yes, 100% only in the CFD challenge","Yes","Yes","Swap Free Accounts","Allowed with restriction: 2 minutes prior or after to high-impact news","Yes","No","No","Upon hitting the profit target","1 Earning account per user","No","In-House","FXFlat, GBE Brokers","MT5, MT4 for CFD- Not available for US traders, ATAS, Quantower, R/Trader, Volsys for Futures- (available for US traders)","4.0","October 1, 2022","Liechtenstein","593"
"City Traders Imperium","$329.00 $279.65 ","50K 2 steps","80% up to 100% + Monthly Salary","1: 10% 2: 5%","5%","10%","$4.50/round lot","1: 0.67","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","4.5","June 2018 United Arab Emirates","461","City Traders Imperium - 2-Step Challenge Funding - 2-Steps 50K","$329.00","$279.65","50K","80% up to 100% + Monthly Salary","10%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes","1: 0.67","$4.50/round lot","Up to 30:1","*Yes, 100% but only on the 2-step","Yes","Yes","Yes","Yes","Yes","No","No","10 Trading days, then Lvl1 last 5 days of the month, Lvl2 Bi weekly, Lvl3 Weekly","200K","No","In-House","Mabicon","MT5","4.5","June 1, 2018","United Arab Emirates","461"
"My Funded FX","$50.00 $43.75 ","5K 1 step","80%","1: 10%","4%","6%","$3/round lot (MatchTrade, DXTrade)","1: 0.6","14 Days","4.2","June 2022 United States","72","My Funded FX - 1-Step - 1-Step 5K","$50.00","$43.75","5K","80%","10%"," ","4%","6%","Balance-based","Trailing","3 days of .5% profit per day","Unlimited","No","1: 0.6","$3/round lot (MatchTrade, DXTrade)","Up to 1:30","0%","Yes","Yes","Technology","Allowed with restriction: 3 minutes before and after a red folder news","Yes","No","No","14 Days","400K","No","White-Label","Zenifex, Purple Trading SC, Match-Prime, Quality FX ltd","cTrader, (Match Trader, DXtrade for US traders)","4.2","June 1, 2022","United States","72"
"For Traders","$529.00 $444.36 ","100K 1 step","80% + 15% from challenge phase","1: 9%","3%","6%","$5/round lot","1: 0.67","14 Days","4.2","July 2023 United Arab Emirates","733","For Traders - 1-Step Challenge - 1-Step 100K","$529.00"," ","100K","80% + 15% from challenge phase","9%"," ","3%","6%","Balance-based","Trailing","3 Days","Unlimited","No","1: 0.67","$5/round lot","Up to 125:1","100%","Yes","No","In-House","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","733"
"Trade The Pool","$330.00 $297.00 ","12K 1 step","60%","1: $6,300 (3xDD)","$700","$2,100","$0.75 minimum or 1/2 cent per share","1: 0.33","14 days","4.5","September 2022 Israel","327","Trade The Pool - Super Buying Power - Swing - 1-Step - 12K","$330.00","$297.00","12K","60%","$6,300 (3xDD)"," ","$700","$2,100","Balance-based","Static","None on Evaluation, 4 Days (Funded)","100 Days","No","1: 0.33","$0.75 minimum or 1/2 cent per share","Up to","No","Yes","No","Broker","Yes","Yes","No","No","14 days","No limit","No"," ","Interactive Brokers","Trader Evolutions","4.5","September 1, 2022","Israel","327"
"Crypto Fund Trader","$250.00 $232.50 ","25K 1 step","80%","1: 10%","4%","6%","$3/round lot","1: 0.6","15 trading days, or 30 calendar days","3.9","November 2022 Switzerland","384","Crypto Fund Trader - 1-Phase - 1-Step 25K","$250.00","$232.50","25K","80%","10%"," ","4%","6%","Balance-based","Trailing","5 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 100:1","No","No","Yes","Mabicon","Yes","Yes","No","No","15 trading days, or 30 calendar days","200K","No","In-House","Liquidity Data Feed Providers","CFT Platform, MT5, (Crypto Futures for US Traders)","3.9","November 2, 2022","Switzerland","384"
"Breakout","$55.00 $52.25 ","5K 1 step","80%","1: 10%","4%","6%","$7/ $10,000","1: 0.60","1 day, and then every following day","4.9","November 2023 British Virgin Islands","86","Breakout Prop - Crypto - 1-Step Evaluation - 1-Steps 5K","$55.00","$52.25","5K","80%","10%"," ","4%","6%","Balance-based","Static","None","Unlimited","No","1: 0.60","$7/ $10,000","Up to 5:1","0%","Yes","No","Trading Platform(s)","Yes","Yes","Yes","No","1 day, and then every following day","200K","No","White-Label","Bybit","Proprietary trading terminal","4.9","November 1, 2023","British Virgin Islands","86"
"Blue Guardian","$497.00 $370.27 ","100K 2 steps","85%","1: 8% 2: 4%","4%","8%","$5/round lot (Match Trade)","1: 0.67","14 Days","4.1","June 2021 United Arab Emirates","574","Blue Guardian - Unlimited Guardian - 2-Steps 100K","$497.00","$370.27","100K","85%","8%","4%","4%","8%","Balance / Equity - Highest at EOD","Static","3 Days with 0.5% profit each day","Unlimited","No","1: 0.67","$5/round lot (Match Trade)","Up to 100:1 (evaluation leverage)","100% on your 4th payout","Yes","Yes","MT5","Allowed: Evaluation accounts. Not allowed: Funded accounts within 2.5 minutes before or after high-impact news.","Yes","No","Yes","14 Days","800K (50K for Pakistan traders)","No","White-Label","*","MT5, (TradeLocker, Match Trader for US traders)","4.1","June 1, 2021","United Arab Emirates","574"
"Instant Funding","$289.00 $245.65 ","50K 2 steps","80%","1: 10% 2: 5%","5%","10%","$7/round lot","1: 0.67","First 14 days, then 7 days","4.6","June 2022 United Kingdom","405","Instant Funding - Static - Two-Phase - 2-Step 50K","$289.00","$245.65","50K","80%","10%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.67","$7/round lot","Up to 100:1","No","Yes","Yes","Buyers Rating","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","405"
"Goat Funded Trader"," ","200K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","30 Days then Bi-weekly or Triple payday or Payout on Demand","4.1","May 2023 Spain","1733","Goat Funded Trader - No Time Limit - 1-Step 200K","$1,050.00"," ","200K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.6","$7/round lot","Up to 30:1","0%","Yes","Yes","No","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days then Bi-weekly or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","1733"
"Instant Funding","$440.00 $374.00 ","10K Instant","80%","x","None","10%","$7/round lot"," ","First 14 days, then 7 days","4.6","June 2022 United Kingdom","617","Instant Funding - Instant Funding - Instant 10K","$440.00","$374.00","10K","80%"," "," ","None","10%","None","Smart","None","Unlimited","No","1:","$7/round lot","Up to 100:1","No","Yes","Yes","News Trading","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","617"
"FundedNext","$129.00 $122.55 ","15K 1 step","90% + 15% from challenge phase","1: 10%","3%","6%","$3/round lot","1: 0.6","5 Days, then 5 business days","4.5","March 2022 United Arab Emirates","74","FundedNext - Stellar Challenge - 1-Step 15K","$129.00","$122.55","15K","90% + 15% from challenge phase","10%"," ","3%","6%","Balance-based","Static","2 Days","Unlimited","No","1: 0.6","$3/round lot","Up to 30:1","100%","Yes","Yes","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","5 Days, then 5 business days","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","74"
"Funding Traders","$200.00 $140.00 ","25K 2 steps","90%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.5","April 2023 United Arab Emirates","308","Funding Traders - 2-Step Evaluation - 2-Step 25K","$200.00","$140.00","25K","90%","10%","5%","5%","10%","Balance-based","Static","None","Unlimited","*No, but you can’t lose more than 2% on any single trade.","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","Weekend Holding","Yes","Yes","No","No","14 Days","2M","Yes","In-House","FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)","4.5","April 1, 2023","United Arab Emirates","308"
"Alpha Capital Group","$147.00 $110.25 ","10K 2 steps","80%","1: 10% 2: 5%","5%","10%","$0","1: 0.67","14 Days","4.4","November 2021 United Kingdom","113","Alpha Capital - Alpha Swing - 2-Step 10K","$147.00","$110.25","10K","80%","10%","5%","5%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.67","$0","Up to 30:1","0.25% of the account balance (bonus fee)","Yes","Yes","Yes","Allowed: Swing accounts. Not allowed: Pro accounts (Permitted during Evaluation)","Yes","No","No","14 Days","400K","No","In-House","ACG Markets","MT5, cTrader, (DXTrade for US traders)","4.4","November 1, 2021","United Kingdom","113"
